ct_sc_pipeline	average_spearman_pvalue	sd_spearman_pvalue	n_pairs
oligodendrocyte.precursor.cell	0.972348201223295	0.016284996380883036	8
astrocyte	0.9519710117365391	0.027209387271130266	8
vip.GABAergic.cortical.interneuron	0.9497194016156907	0.027911603669447584	8
pvalb.GABAergic.cortical.interneuron	0.949386707607126	0.03288664986930075	8
oligodendrocyte	0.9355502922601882	0.036256935657221705	8
chandelier.pvalb.GABAergic.cortical.interneuron	0.920502724415492	0.06153791152978586	8
sncg.GABAergic.cortical.interneuron	0.7536339492372333	0.10195895358253532	8
PAX6.GABAergic.cortical.interneuron	0.7349895065306752	0.11281870842450713	8
lamp5.GABAergic.cortical.interneuron	0.703533802339159	0.13784306687716005	16
L2.3.6.intratelencephalic.projecting.glutamatergic.neuron	0.6319713450083417	0.21660798322692904	40
sst.GABAergic.cortical.interneuron	0.5576306333294128	0.38297948950853633	16
microglial.cell	0.5536289980936356	0.2912093412459452	16
deep.layer.non.IT	0.5113441686485126	0.17749928232544285	32
vascular	0.4365715683899113	0.20154740552927963	32
